source_id,target_id,role
00551,ad12de0926,Dargestellte/r
00551,ad12de0926,Muenzherr
00552,deafe9e3f4,Muenzherr
00558,ee84fad8f2,Dargestellte/r
00558,ad12de0926,Muenzherr
00559,ee84fad8f2,Dargestellte/r
00559,ad12de0926,Muenzherr
00560,74d332fc4b,Dargestellte/r
00561,14d393e7f5,Dargestellte/r
00561,14d393e7f5,Muenzherr
00562,305b31a425,Dargestellte/r
00562,305b31a425,Muenzherr
00563,c57ceec31a,Dargestellte/r
00563,c57ceec31a,Muenzherr
00564,46bf821037,Dargestellte/r
00564,46bf821037,Muenzherr
00565,8688f30265,Dargestellte/r
00565,1ab4d42bff,Dargestellte/r
00565,8688f30265,Muenzherr
00565,1ab4d42bff,Muenzherr
00566,74f979bc0e,Dargestellte/r
00566,74f979bc0e,Muenzherr
00567,74f979bc0e,Dargestellte/r
00567,28526925fd,Dargestellte/r
00567,74f979bc0e,Muenzherr
00568,8688f30265,Dargestellte/r
00568,8688f30265,Muenzherr
00569,a2c85d65ee,Dargestellte/r
00569,8688f30265,Muenzherr
00570,8688f30265,Dargestellte/r
00570,8688f30265,Muenzherr
00576,b52399418d,Muenzherr
00596,f8e838afcf,Dargestellte/r
00596,f8e838afcf,Muenzherr
00597,f8e838afcf,Dargestellte/r
00597,f8e838afcf,Muenzherr
00598,f8e838afcf,Dargestellte/r
00598,f8e838afcf,Muenzherr
00599,f8e838afcf,Dargestellte/r
00599,f8e838afcf,Muenzherr
00600,f8e838afcf,Dargestellte/r
00600,f8e838afcf,Muenzherr
00601,f8e838afcf,Dargestellte/r
00601,f8e838afcf,Muenzherr
00602,f8e838afcf,Dargestellte/r
00602,f8e838afcf,Muenzherr
00603,f8e838afcf,Dargestellte/r
00603,f8e838afcf,Muenzherr
00604,f8e838afcf,Dargestellte/r
00604,f8e838afcf,Muenzherr
00605,5ceede9b5f,Dargestellte/r
00605,5ceede9b5f,Muenzherr
00606,b25f88f948,Dargestellte/r
00606,b25f88f948,Muenzherr
00607,27a545e4b0,Dargestellte/r
00607,27a545e4b0,Muenzherr
00608,6846e3e239,Dargestellte/r
00608,beaba2b79d,Dargestellte/r
00608,beaba2b79d,Muenzherr
00609,ff54c2b743,Dargestellte/r
00609,ff54c2b743,Muenzherr
00610,ff54c2b743,Dargestellte/r
00610,ff54c2b743,Muenzherr
00611,47082baf7c,Dargestellte/r
00611,f8e838afcf,Muenzherr
00612,f8e838afcf,Dargestellte/r
00612,f8e838afcf,Muenzherr
00613,f8e838afcf,Dargestellte/r
00613,f8e838afcf,Muenzherr
00614,84f7fd2e45,Dargestellte/r
00614,902ea5e4d4,Muenzherr
00615,afe4b82b87,Dargestellte/r
00615,afe4b82b87,Muenzherr
00616,6cc9fa6e6f,Dargestellte/r
00616,6cc9fa6e6f,Muenzherr
00618,6cc9fa6e6f,Dargestellte/r
